id_pedido,data,produto,categoria,quantidade,preco_unitario,desconto,faturamento,custo,lucro,regiao,canal,forma_pagamento,status
166,2025-06-15,Air Fryer,Casa,1,354.37,0.009,351.18,242.83,108.35,Sudeste,Site,Cartão,Concluído
167,2025-06-16,Hidratante,Beleza,3,107.09,0.117,283.68,129.19,154.49,Sudeste,Marketplace,Pix,Concluído
168,2025-06-17,Tênis,Moda,3,407.66,0.069,1138.59,841.24,297.35,Sul,Marketplace,Cartão,Concluído
169,2025-06-18,Smartwatch,Eletrônicos,4,648.82,0.009,2571.92,1718.05,853.87,Norte,Site,Cartão,Concluído
170,2025-06-19,Perfume,Beleza,3,130.52,0.149,333.22,180.41,152.81,Nordeste,Site,Pix,Concluído
171,2025-06-20,Teclado,Eletrônicos,3,147.55,0.009,438.67,306.55,132.12,Norte,App,Pix,Concluído
172,2025-06-21,Fone Bluetooth,Eletrônicos,3,638.01,0.104,1714.97,916.58,798.39,Sul,Site,Cartão,Concluído
173,2025-06-22,Cafeteira,Casa,1,482.34,0.148,410.95,292.52,118.43,Norte,App,Boleto,Concluído
174,2025-06-23,Chapinha,Beleza,4,152.04,0.036,586.27,283.62,302.65,Norte,App,Boleto,Concluído
175,2025-06-24,Perfume,Beleza,2,429.85,0.021,841.65,556.42,285.23,Sul,App,Pix,Concluído
176,2025-06-25,Cafeteira,Casa,1,165.17,0.018,162.2,99.3,62.9,Sudeste,Marketplace,Pix,Cancelado
177,2025-06-26,Jaqueta,Moda,3,244.55,0.045,700.64,335.58,365.06,Nordeste,Marketplace,Boleto,Concluído
178,2025-06-27,Teclado,Eletrônicos,1,853.77,0.015,840.96,439.46,401.5,Sul,Site,Cartão,Concluído
179,2025-06-28,Bola,Esportes,3,164.31,0.104,441.67,200.4,241.27,Centro-Oeste,App,Boleto,Concluído
180,2025-06-29,Caixa de Som,Eletrônicos,3,603.59,0.009,1794.47,1059.87,734.6,Sudeste,Marketplace,Boleto,Concluído
181,2025-06-30,Caixa de Som,Eletrônicos,1,406.03,0.076,375.17,202.73,172.44,Centro-Oeste,Marketplace,Boleto,Concluído
182,2025-07-01,Jaqueta,Moda,4,173.4,0.15,589.56,371.13,218.43,Sudeste,Marketplace,Boleto,Concluído
183,2025-07-02,Smartwatch,Eletrônicos,3,886.86,0.122,2335.99,1259.5,1076.49,Nordeste,Marketplace,Pix,Concluído
184,2025-07-03,Liquidificador,Casa,4,327.88,0.092,1190.86,643.04,547.82,Nordeste,Marketplace,Pix,Concluído
185,2025-07-04,Jogo de Panelas,Casa,2,633.28,0.046,1208.3,813.14,395.16,Norte,App,Cartão,Concluído
186,2025-07-05,Perfume,Beleza,3,134.28,0.094,364.97,169.51,195.46,Centro-Oeste,App,Cartão,Concluído
187,2025-07-06,Bola,Esportes,4,98.19,0.079,361.73,260.76,100.97,Sudeste,App,Cartão,Concluído
188,2025-07-07,Fone Bluetooth,Eletrônicos,4,105.53,0.064,395.1,278.81,116.29,Nordeste,App,Cartão,Concluído
189,2025-07-08,Fone Bluetooth,Eletrônicos,2,614.37,0.02,1204.17,783.12,421.05,Sul,Site,Boleto,Concluído
190,2025-07-09,Calça Jeans,Moda,4,215.84,0.133,748.53,470.05,278.48,Nordeste,App,Pix,Cancelado
191,2025-07-10,Cafeteira,Casa,4,614.55,0.067,2293.5,1646.02,647.48,Sul,Marketplace,Pix,Concluído
192,2025-07-11,Bola,Esportes,2,181.43,0.029,352.34,178.14,174.2,Sudeste,App,Cartão,Concluído
193,2025-07-12,Chapinha,Beleza,3,436.96,0.055,1238.78,586.8,651.98,Nordeste,Site,Cartão,Concluído
194,2025-07-13,Air Fryer,Casa,4,186.88,0.062,701.17,365.91,335.26,Nordeste,Marketplace,Boleto,Concluído
195,2025-07-14,Perfume,Beleza,4,396.14,0.124,1388.07,955.51,432.56,Sudeste,App,Boleto,Concluído
196,2025-07-15,Camiseta,Moda,4,399.47,0.11,1422.11,654.74,767.37,Nordeste,App,Cartão,Concluído
197,2025-07-16,Bolsa,Moda,1,396.91,0.115,351.27,219.49,131.78,Sul,App,Pix,Concluído
198,2025-07-17,Smartwatch,Eletrônicos,2,772.72,0.002,1542.35,1154.65,387.7,Nordeste,Marketplace,Pix,Concluído
199,2025-07-18,Garrafa,Esportes,1,273.53,0.062,256.57,181.32,75.25,Centro-Oeste,Marketplace,Pix,Concluído
200,2025-07-19,Kit Skincare,Beleza,2,296.75,0.072,550.77,334.01,216.76,Norte,Site,Cartão,Concluído
201,2025-07-20,Jogo de Panelas,Casa,3,152.68,0.003,456.67,214.22,242.45,Sul,Marketplace,Pix,Concluído
202,2025-07-21,Calça Jeans,Moda,3,64.64,0.039,186.36,130.34,56.02,Centro-Oeste,Marketplace,Boleto,Cancelado
203,2025-07-22,Smartwatch,Eletrônicos,4,835.1,0.114,2959.59,1863.63,1095.96,Sudeste,App,Boleto,Concluído
204,2025-07-23,Mouse,Eletrônicos,2,585.65,0.021,1146.7,555.55,591.15,Sul,Marketplace,Cartão,Cancelado
205,2025-07-24,Perfume,Beleza,3,366.58,0.08,1011.76,483.78,527.98,Norte,App,Boleto,Concluído
206,2025-07-25,Bolsa,Moda,2,266.69,0.032,516.31,373.23,143.08,Norte,App,Cartão,Cancelado
207,2025-07-26,Bola,Esportes,3,67.54,0.002,202.21,131.59,70.62,Sudeste,Marketplace,Pix,Concluído
208,2025-07-27,Calça Jeans,Moda,1,106.33,0.036,102.5,71.63,30.87,Sudeste,Site,Pix,Concluído
209,2025-07-28,Perfume,Beleza,3,321.08,0.146,822.61,587.09,235.52,Sul,Site,Pix,Concluído
210,2025-07-29,Perfume,Beleza,1,216.43,0.12,190.46,118.38,72.08,Nordeste,Marketplace,Boleto,Concluído
211,2025-07-30,Jaqueta,Moda,3,140.24,0.144,360.14,217.97,142.17,Sudeste,Site,Cartão,Concluído
212,2025-07-31,Hidratante,Beleza,4,241.55,0.073,895.67,518.71,376.96,Nordeste,App,Pix,Concluído
213,2025-08-01,Camiseta,Moda,1,78.89,0.016,77.63,42.31,35.32,Centro-Oeste,App,Cartão,Concluído
214,2025-08-02,Jogo de Panelas,Casa,3,436.64,0.082,1202.51,697.91,504.6,Norte,Marketplace,Pix,Concluído
215,2025-08-03,Calça Jeans,Moda,4,171.05,0.068,637.67,435.0,202.67,Nordeste,Site,Boleto,Concluído
216,2025-08-04,Bolsa,Moda,1,408.9,0.127,356.97,225.1,131.87,Norte,Site,Boleto,Concluído
217,2025-08-05,Kit Skincare,Beleza,4,167.25,0.015,658.96,472.97,185.99,Nordeste,App,Cartão,Concluído
218,2025-08-06,Kit Skincare,Beleza,2,226.64,0.073,420.19,244.98,175.21,Centro-Oeste,Marketplace,Boleto,Concluído
219,2025-08-07,Smartwatch,Eletrônicos,2,89.53,0.023,174.94,110.58,64.36,Sudeste,Site,Boleto,Concluído
220,2025-08-08,Smartwatch,Eletrônicos,1,139.41,0.049,132.58,84.77,47.81,Centro-Oeste,Marketplace,Cartão,Concluído
221,2025-08-09,Jogo de Panelas,Casa,3,317.27,0.111,846.16,530.97,315.19,Sudeste,Site,Pix,Concluído
222,2025-08-10,Teclado,Eletrônicos,1,473.55,0.071,439.93,290.7,149.23,Sudeste,App,Boleto,Concluído
